risk_id,activity_type,material_type,authority_layer,knowledge_category,place_precision,subject_status,consent_status,community_review_required,site_review_required,default_access_tier,harm_level,required_owner,required_action,escalation_path,review_sla,next_review_field,audit_fields
HM-001,pre-consent conversation,field_notes,individual,personal_context,region,candidate,draft,false,false,internal_restricted,medium,consent_coordinator,record consent scope before further use,governance_steward,5_business_days,review_date,"consent_id|archive_id|timestamp|owner|access_tier"
HM-002,practitioner interview,audio,practitioner,personal_story,sub_region,contacted,draft,false,false,internal_restricted,medium,archive_steward,store restricted and prepare review packet,governance_steward,10_business_days,review_date,"consent_id|archive_id|reviewer|decision|timestamp"
HM-003,workshop process documentation,photo,practitioner,trade_method,town,consented,active,false,true,sealed,high,archive_steward,seal until practitioner and site review,governance_steward,15_business_days,review_date,"consent_id|archive_id|site_authority|restriction|timestamp"
HM-004,community practice description,transcript,community_authority,shared_heritage,sub_region,consented,active,true,false,community_only,high,community_steward,route to community review before public summary,governance_steward,20_business_days,review_date,"consent_id|archive_id|community_authority|decision|timestamp"
HM-005,site documentation,photo,site_authority,location_sensitive,exact_site,consented,active,true,true,sealed,high,archive_steward,remove exact location and confirm site permission,governance_steward,5_business_days,review_date,"consent_id|archive_id|location_precision|site_decision|timestamp"
HM-006,student visit media,video,practitioner,teaching_context,town,approved_public,active,true,true,internal_restricted,high,governance_steward,deny student capture unless separate approval exists,advisory_reviewer,5_business_days,review_date,"student_agreement_id|consent_id|archive_id|decision|timestamp"
HM-007,public profile,profile,individual_and_practitioner,biography,region,reviewed,active,false,false,internal_restricted,medium,communications_owner,obtain practitioner approval for final text,governance_steward,15_business_days,review_date,"consent_id|profile_path|reviewer|version|timestamp"
HM-008,public cultural representation,metadata,community_authority,community_identity,sub_region,reviewed,active,true,false,community_only,high,communications_owner,obtain community authority decision before publication,governance_steward,20_business_days,review_date,"consent_id|document_path|community_decision|access_tier|timestamp"
HM-009,restricted knowledge capture,audio,community_authority,restricted_knowledge,none,consented,active,true,false,sealed,critical,archive_steward,stop use and seal material,governance_steward,2_business_days,review_date,"consent_id|archive_id|restriction_reason_code|owner|timestamp"
HM-010,withdrawal request,any,granting_authority,any,any,any,withdrawn,true,true,withdrawn,critical,archive_steward,suspend access and update tombstone record,governance_steward,2_business_days,review_date,"consent_id|archive_id|requester_authority|action|timestamp"
