Corridor,Region Path,Location,Country/Region,Craft / Stewardship,Notes,Knowledge Archetype,Sensitivity,Founder Phase,Status,Steward Type,Indigenous Y/N,Ecological Y/N
Italian Master Craft Corridor,Greece → Cyclades Islands,Chios,Greece,Mastic cultivation,Sub-cluster: Aegean Stone & Craft Corridor | Rare resin harvest tradition unique to the island,Land Stewardship,Medium,,Candidate,Land Steward,N,N
Italian Master Craft Corridor,Greece → Cyclades Islands,Crete,Greece,Olive oil stewardship,Sub-cluster: Aegean Stone & Craft Corridor | Ancient Mediterranean olive cultivation,Food & Fermentation,Medium,,Candidate,Craft Master,N,Y
Italian Master Craft Corridor,Greece → Cyclades Islands,Paros,Greece,Marble quarrying,Sub-cluster: Aegean Stone & Craft Corridor | Classical marble extraction techniques,Material Craft,Medium,,Candidate,Craft Master,N,N
Italian Master Craft Corridor,Greece → Cyclades Islands,Tinos,Greece,Marble carving,Sub-cluster: Aegean Stone & Craft Corridor | Ancient stone carving traditions still practiced today,Material Craft,Medium,,Candidate,Craft Master,N,N
Andean Knowledge Corridor,Peru → Bolivia → Ecuador,Andes Highlands,Peru / Bolivia / Ecuador,Herbal medicine,Mountain plant medicine knowledge,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
Andean Knowledge Corridor,Peru → Bolivia → Ecuador,Cusco,Peru,Alpaca weaving,Indigenous Andean textile traditions,Textile & Fiber Craft,Medium,,Candidate,Craft Master,Y,N
Andean Knowledge Corridor,Peru → Bolivia → Ecuador,Cusco,Peru,Andean Weaving,Center for Traditional Textiles of Cusco | Master candidate: Nilda Callañaupa Alvarez,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Andean Knowledge Corridor,Peru → Bolivia → Ecuador,Lake Titicaca,Bolivia / Peru,Reed boat building,Totora reed watercraft traditions,Architecture & Building Craft,Medium,,Candidate,Craft Master,N,N
Andean Knowledge Corridor,Peru → Bolivia → Ecuador,Otavalo,Ecuador,Ikat weaving,Traditional Andean textile craft,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
Andean Knowledge Corridor,Peru → Bolivia → Ecuador,Sacred Valley,Peru,Terraced agriculture,Inca agricultural engineering systems,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
Andean Knowledge Corridor,Andes / Amazon,Colombia,Colombia,Native Seed Archiving / Agroecology,Sub-cluster: Andes / Amazon Corridor | Land stewardship anchor | Indigenous seed knowledge threatened by industrial farming | Master candidate: TBD,Land Stewardship,High,Founding 13,Candidate,Land Steward,Y,Y
North American Stewardship Corridor,Kentucky → Tennessee → North Carolina → Virginia,Abingdon,"Virginia, USA",Basket weaving,Sub-cluster: Appalachian Craft Corridor | Appalachian fiber craft,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Kentucky → Tennessee → North Carolina → Virginia,Asheville,"North Carolina, USA",Pottery,Sub-cluster: Appalachian Craft Corridor | Southern Appalachian ceramics,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Kentucky → Tennessee → North Carolina → Virginia,Berea,"Kentucky, USA",Appalachian woodworking,Sub-cluster: Appalachian Craft Corridor | Folk furniture making,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Kentucky → Tennessee → North Carolina → Virginia,Eastern Kentucky,"Kentucky, USA",Dulcimer instrument making,Sub-cluster: Appalachian Craft Corridor | Appalachian folk instrument,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Kentucky → Tennessee → North Carolina → Virginia,Gatlinburg,"Tennessee, USA",Wood carving,Sub-cluster: Appalachian Craft Corridor | Mountain carving traditions,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Kentucky → Tennessee → North Carolina → Virginia,Mount Airy,"North Carolina, USA",Fiddle making,Sub-cluster: Appalachian Craft Corridor | Traditional instrument craft,Material Craft,Medium,,Candidate,Craft Master,N,N
Arctic & Subarctic Knowledge Corridor,Yukon → Northwest Territories → Nunavut → Northern Prairies,Blackfoot territory,"Alberta, Canada",Buffalo-hide storytelling / painted hide,Material storytelling tied to Plains knowledge,Music & Storytelling,Medium,,Candidate,Craft Master,N,N
Arctic & Subarctic Knowledge Corridor,Yukon → Northwest Territories → Nunavut → Northern Prairies,Dene regions,"Northwest Territories, Canada",Moosehide tanning,Land-based skill requiring seasonal and ecological knowledge,Material Craft,Medium,,Candidate,Craft Master,N,Y
Arctic & Subarctic Knowledge Corridor,Yukon → Northwest Territories → Nunavut → Northern Prairies,First Nations regions,"Yukon, Canada",Caribou-hide sewing,Cold-climate material knowledge with deep ancestral roots,Material Craft,Medium,,Candidate,Craft Master,N,N
Arctic & Subarctic Knowledge Corridor,Yukon → Northwest Territories → Nunavut → Northern Prairies,Inuit regions,"Nunavut, Canada",Qajaq / skin boat knowledge,Ancient Arctic engineering and survival knowledge,Maritime & Watercraft,Medium,,Candidate,Craft Master,N,N
Arctic & Subarctic Knowledge Corridor,Yukon → Northwest Territories → Nunavut → Northern Prairies,Prairie / Métis regions,"Saskatchewan, Canada",Floral beadwork,"Adornment carrying kinship, story, and identity",Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
Arctic & Subarctic Knowledge Corridor,Yukon → Northwest Territories → Nunavut → Northern Prairies,Red River / Métis communities,"Manitoba, Canada",Métis fiddle tradition,"Story, dance, and oral tradition carried through music",Music & Storytelling,Medium,,Candidate,Craft Master,N,N
Scandinavian Craft & Land Corridor,Baltic,Bornholm,Denmark,Ceramics / Pottery,Sub-cluster: Baltic Corridor | Good European node | Small island craft community shrinking | Master candidate: TBD,Material Craft,Low,,Candidate,Craft Master,N,N
North American Stewardship Corridor,England → Wales → Scotland,Lake District,United Kingdom,Traditional Shepherding,Sub-cluster: British Isles Land Stewardship Corridor | Shepherding heritage | Master candidate: James Rebanks,Land Stewardship,Low,,Candidate,Land Steward,N,N
North American Stewardship Corridor,Northern CA → Central CA → Southern CA,Mendocino Coast,"California, USA",Driftwood sculpture,Sub-cluster: California Land & Craft Corridor | Coastal sculptural craft,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Northern CA → Central CA → Southern CA,Nevada City,"California, USA",Blacksmithing,Sub-cluster: California Land & Craft Corridor | Iron forging revival craft,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Northern CA → Central CA → Southern CA,Northern Sierra,"California, USA",Forest stewardship,Sub-cluster: California Land & Craft Corridor | Cultural burning land knowledge,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
North American Stewardship Corridor,Northern CA → Central CA → Southern CA,Ojai,"California, USA",Ceramics,Sub-cluster: California Land & Craft Corridor | Studio pottery traditions,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Northern CA → Central CA → Southern CA,Santa Barbara,"California, USA",Traditional boat building,Sub-cluster: California Land & Craft Corridor | Wood surf craft,Architecture & Building Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Northern CA → Central CA → Southern CA,Sonoma County,"California, USA",Natural wine making,Sub-cluster: California Land & Craft Corridor | Low-intervention fermentation traditions,Food & Fermentation,Medium,,Candidate,Craft Master,N,N
Caucasus Fermentation Corridor,Georgia → Armenia → Türkiye → Greece → Persia,Areni Valley,Armenia,Ancient vineyard stewardship,Sub-cluster: Caucasus & Mediterranean Craft Corridor | High-altitude wine cultivation traditions,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,N,Y
Caucasus Fermentation Corridor,Georgia → Armenia → Türkiye → Greece → Persia,Gaziantep,Türkiye,Copper smithing,Sub-cluster: Caucasus & Mediterranean Craft Corridor | Historic hammered copper craft traditions,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Caucasus Fermentation Corridor,Georgia → Armenia → Türkiye → Greece → Persia,Isfahan,Iran,Persian carpet weaving,Sub-cluster: Caucasus & Mediterranean Craft Corridor | Safavid-era weaving traditions and natural dye mastery,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Caucasus Fermentation Corridor,Georgia → Türkiye → Greece,Istanbul,Turkey,Ebru Paper Marbling,Sub-cluster: Caucasus & Mediterranean Craft Corridor | Traditional marbling lineage | Master candidate: Garip Ay,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Caucasus Fermentation Corridor,Georgia → Armenia → Türkiye → Greece → Persia,Kakheti,Georgia,Qvevri winemaking,"Sub-cluster: Caucasus & Mediterranean Craft Corridor | 8,000-year clay vessel fermentation tradition",Land Stewardship,Medium,Founding 13,Candidate,Land Steward,N,N
Caucasus Fermentation Corridor,Georgia → Armenia → Türkiye → Greece → Persia,Tinos,Greece,Marble carving,Sub-cluster: Caucasus & Mediterranean Craft Corridor | Ancient stone carving traditions still practiced today,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Caucasus Fermentation Corridor,Caucasus,Tbilisi / Kakheti,Georgia,Qvevri Winemaking,Sub-cluster: Caucasus Corridor | Iconic agricultural craft | 8000-year fermentation method with clay vessels | Master candidate: TBD,Land Stewardship,Low,Founding 13,Candidate,Land Steward,N,Y
Caucasus Fermentation Corridor,Georgia → Armenia → Eastern Türkiye,Ijevan Highlands,Armenia,Carpet weaving,Traditional Caucasus textile craft,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
Caucasus Fermentation Corridor,Georgia → Armenia → Eastern Türkiye,Tbilisi,Georgia,Clay vessel craft,Qvevri pottery making,Material Craft,Medium,,Candidate,Craft Master,N,N
Central African Ritual Art Corridor,Cameroon → DRC → Gabon,Bamenda Highlands,Cameroon,Grasslands mask carving,Royal ceremonial masks and regalia,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,Y,N
Central African Ritual Art Corridor,Cameroon → DRC → Gabon,Gabon Forests,Gabon,Fang reliquary sculpture,Sacred guardian figure carving,Material Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
Central African Ritual Art Corridor,Cameroon → DRC → Gabon,Kasai Region,DRC,Kuba raffia textile weaving,Geometric textiles woven from palm fiber | Palm fiber geometric textiles,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
Central African Ritual Art Corridor,Cameroon → DRC → Gabon,Kinshasa Region,DRC,Ngoma drum making,Ceremonial drum carving traditions,Material Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
Central African Ritual Art Corridor,Cameroon → DRC → Gabon,Sangha Basin,Congo Basin,Forest stewardship,Traditional rainforest ecological knowledge,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,Y,Y
Central Asia Corridor,Central Asia,Bukhara,Uzbekistan,Silk Ikat Weaving,Strong Central Asian node | Handwoven silk traditions declining | Master candidate: TBD,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
Mesoamerican Craft & Agriculture Corridor,Central Mexico,Mexico City,Mexico,Painting / Contemporary Collage,Sub-cluster: Central Mexico Corridor | Contemporary discipline | Modern art rooted in Mexican tradition | Master candidate: Carlito Dalceggio,Material Craft,Low,,Candidate,Craft Master,N,N
Iberian Craft & Land Corridor,Central Portugal,Serra da Estrela,Portugal,Dry Stone Walling,Sub-cluster: Central Portugal Corridor | Matches architecture interest | Stone terrace building disappearing | Master candidate: TBD,Architecture & Building Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Andean Knowledge Corridor,Amazon → Andes → Caribbean,Amazon Basin,Colombia,Ethnobotany,Sub-cluster: Colombian Ecological Knowledge Corridor | Indigenous plant medicine and forest knowledge,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,Y,Y
Andean Knowledge Corridor,Amazon → Andes → Caribbean,Amazon Basin,Colombia,Indigenous Ecological Knowledge,Sub-cluster: Colombian Ecological Knowledge Corridor | Amazon ethnobotany | Master candidate: Abel Rodríguez,Land Stewardship,High,Founding 13,Candidate,Land Steward,Y,Y
Andean Knowledge Corridor,Amazon → Andes → Caribbean,Andes Highlands,Colombia,Agroforestry systems,Sub-cluster: Colombian Ecological Knowledge Corridor | Traditional mountain agriculture and biodiversity,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,N,Y
Andean Knowledge Corridor,Amazon → Andes → Caribbean,Caribbean Coast,Colombia,Cacao fermentation,Sub-cluster: Colombian Ecological Knowledge Corridor | Traditional cacao cultivation and fermentation,Food & Fermentation,Medium,,Candidate,Craft Master,N,N
Andean Knowledge Corridor,Amazon → Andes → Caribbean,Cauca Highlands,Colombia,Nasa seed guardianship,Sub-cluster: Colombian Ecological Knowledge Corridor | Indigenous seed preservation and crop biodiversity,Land Stewardship,Medium,,Candidate,Land Steward,Y,N
Andean Knowledge Corridor,Amazon → Andes → Caribbean,Guajira Peninsula,Colombia,Wayuu mochila weaving,Sub-cluster: Colombian Ecological Knowledge Corridor | Indigenous geometric weaving tradition,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
Andean Knowledge Corridor,Amazon → Andes → Caribbean,Huila Mountains,Colombia,Coffee fermentation,Sub-cluster: Colombian Ecological Knowledge Corridor | High-altitude specialty coffee fermentation traditions,Food & Fermentation,Medium,Founding 13,Candidate,Craft Master,N,N
Andean Knowledge Corridor,Amazon → Andes → Caribbean,Nariño Highlands,Colombia,Panela sugar craft,Sub-cluster: Colombian Ecological Knowledge Corridor | Traditional unrefined cane sugar production using wood-fired mills,Food & Fermentation,Medium,,Candidate,Craft Master,N,Y
Andean Knowledge Corridor,Amazon → Andes → Caribbean,Pacific Chocó,Colombia,Cacao agroforestry,Sub-cluster: Colombian Ecological Knowledge Corridor | Rainforest cacao cultivation traditions,Food & Fermentation,Medium,,Candidate,Land Steward,N,Y
Andean Knowledge Corridor,Amazon → Andes → Caribbean,Putumayo Forests,Colombia,Yagé plant knowledge,Sub-cluster: Colombian Ecological Knowledge Corridor | Traditional Amazonian medicinal plant stewardship,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
Andean Knowledge Corridor,Amazon → Andes → Caribbean,Sierra Nevada de Santa Marta,Colombia,Indigenous forest stewardship,Sub-cluster: Colombian Ecological Knowledge Corridor | Arhuaco and Kogi ecological knowledge systems,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,Y,Y
East African Wood & Land Corridor,Kenya → Tanzania → Uganda,Lake Victoria Region,Uganda,Bark cloth making,Sub-cluster: East African Wood & Land Stewardship Corridor | Fabric made from tree bark fiber | Ancient fabric produced from tree bark,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,N,N
East African Wood & Land Corridor,Kenya → Tanzania → Uganda,Maasai Mara,Kenya,Pastoral land stewardship,Sub-cluster: East African Wood & Land Stewardship Corridor | Traditional grazing and ecosystem management,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,N,Y
East African Wood & Land Corridor,Kenya → Tanzania → Uganda,Maasai Mara Region,Kenya,Pastoral land stewardship,Sub-cluster: East African Wood & Land Stewardship Corridor | Traditional grazing and ecosystem management,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
East African Wood & Land Corridor,Kenya → Tanzania → Uganda,Makonde Plateau,Tanzania,Makonde ebony sculpture,Sub-cluster: East African Wood & Land Stewardship Corridor | Highly symbolic African carving tradition | Intricate spiritual carving tradition,Material Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
