risk_id,lane,priority,category,risk_statement,severity,likelihood,owner,early_warning,mitigation,next_review,stop_pivot_continue,status
R-001,G,P0,Consent,Documentation exists without a linked consent record,Critical,Possible,Archive steward,Media or notes lack consent_id,Freeze publication and audit all records,Monthly,Stop if consent cannot be matched,Open
R-002,G,P0,Public language,Public copy implies active practitioners partners or global authority,High,Likely,Communications owner,Copy uses active partnership or corridor claims,Rewrite copy and require evidence review,Before publication,Pivot copy until verified,Open
R-003,G,P0,Archive,Restricted material becomes publicly accessible,Critical,Possible,Archive steward,File stored in public repo or public drive,Restrict access audit notify affected participants,Monthly,Stop active publication,Open
R-004,G,P0,Governance,Founder makes publication decisions without steward review,High,Possible,Governance steward,Decision log lacks reviewer,Require steward approval before publication,Monthly,Pause affected publication,Open
R-005,G,P0,Practitioner burden,Practitioners are asked for unpaid review teaching or documentation labor,High,Possible,Founder,Slow replies or unclear benefit,Add compensation and reduce scope,Monthly,Pivot activity design,Open
R-006,G,P0,Technology,App or marketplace work begins before governance readiness,High,Possible,Founder,Product roadmap includes booking ranking or public map,Apply technology readiness gate,Quarterly,Stop app work,Open
R-007,G,P1,Funding,Grant deliverables require publishing or scaling beyond consent,High,Possible,Governance steward,Funder asks for public outputs or volume metrics,Renegotiate deliverables or decline funding,Before acceptance,Pivot or decline funding,Open
R-008,G,P1,Student safety,Student access begins before safety liability and conduct rules exist,High,Possible,Legal advisor,Study visit proposed without agreements,Complete safety and participation policies,Before student activity,Stop student activity,Open
R-009,G,P1,Community harm,Documentation exposes sensitive places or shared knowledge,High,Possible,Stewardship reviewer,Exact locations or sensitive methods appear in draft,Hide location and require community review,Before publication,Restrict material,Open
R-010,G,P1,Governance,Advisor names are used before roles are accepted,Medium,Possible,Founder,Public copy names candidates as advisors,Keep candidates internal until written acceptance,Before publication,Pivot language,Open
